steps=869 | du=21 | best_du=254 | best_ep=416 | du_mean30=38.167 | random_action=5.00%:  87%|███████████████████████████████████████████████████████████████████▊          | 870/1000 [47:35<05:24,  2.50s/it]
steps=879 | du=71 | best_du=254 | best_ep=416 | du_mean30=37.367 | random_action=5.00%:  88%|████████████████████████████████████████████████████████████████████▋         | 880/1000 [48:13<06:12,  3.11s/it]
steps=889 | du=54 | best_du=254 | best_ep=416 | du_mean30=56.733 | random_action=5.00%:  89%|█████████████████████████████████████████████████████████████████████▍        | 890/1000 [49:10<08:28,  4.62s/it]
steps=899 | du=98 | best_du=254 | best_ep=416 | du_mean30=72.500 | random_action=5.00%:  90%|██████████████████████████████████████████████████████████████████████▏       | 900/1000 [50:12<10:48,  6.49s/it]
steps=909 | du=27 | best_du=254 | best_ep=416 | du_mean30=78.967 | random_action=5.00%:  91%|██████████████████████████████████████████████████████████████████████▉       | 910/1000 [51:06<07:39,  5.11s/it]
steps=919 | du=30 | best_du=254 | best_ep=416 | du_mean30=68.000 | random_action=5.00%:  92%|███████████████████████████████████████████████████████████████████████▊      | 920/1000 [51:42<05:17,  3.96s/it]
steps=929 | du=20 | best_du=254 | best_ep=416 | du_mean30=52.867 | random_action=5.00%:  93%|████████████████████████████████████████████████████████████████████████▌     | 930/1000 [52:09<02:53,  2.49s/it]
steps=939 | du=18 | best_du=254 | best_ep=416 | du_mean30=38.100 | random_action=5.00%:  94%|█████████████████████████████████████████████████████████████████████████▎    | 940/1000 [52:28<02:11,  2.18s/it]
steps=949 | du=44 | best_du=254 | best_ep=416 | du_mean30=39.367 | random_action=5.00%:  95%|██████████████████████████████████████████████████████████████████████████    | 950/1000 [53:04<02:30,  3.01s/it]
steps=959 | du=15 | best_du=254 | best_ep=416 | du_mean30=34.500 | random_action=5.00%:  96%|██████████████████████████████████████████████████████████████████████████▉   | 960/1000 [53:23<00:53,  1.33s/it]
steps=969 | du=19 | best_du=254 | best_ep=416 | du_mean30=36.700 | random_action=5.00%:  97%|███████████████████████████████████████████████████████████████████████████▋  | 970/1000 [53:50<01:15,  2.52s/it]
steps=979 | du=64 | best_du=254 | best_ep=416 | du_mean30=36.933 | random_action=5.00%:  98%|████████████████████████████████████████████████████████████████████████████▍ | 980/1000 [54:42<01:32,  4.63s/it]
steps=989 | du=60 | best_du=254 | best_ep=416 | du_mean30=55.233 | random_action=5.00%:  99%|█████████████████████████████████████████████████████████████████████████████▏| 990/1000 [55:53<00:53,  5.31s/it]
steps=999 | du=34 | best_du=254 | best_ep=416 | du_mean30=59.133 | random_action=5.00%: 100%|█████████████████████████████████████████████████████████████████████████████| 1000/1000 [56:31<00:00,  4.46s/it]
Log loaded from logs/log.json
Load model weights from model.pth
  0%|                                                                                                                                                                                 | 0/200 [00:00<?, ?it/s]
steps=1000 | du=70 | best_du=254 | best_ep=416 | du_mean30=55.333 | random_action=5.00%:   5%|███▉                                                                           | 10/200 [00:17<07:18,  2.31s/it]
steps=1010 | du=34 | best_du=254 | best_ep=416 | du_mean30=50.767 | random_action=5.00%:  10%|███████▉                                                                       | 20/200 [00:46<10:26,  3.48s/it]
